Recon3d_id,Row_medium
6648_AT1,14.78581945
53947_AT1,0
65985_AT1,10.2093452
10157_AT1,0
18_AT1,10.80847916
19_AT1,10.35567385
21_AT1,10.6839766
5243_AT1,0
10058_AT1,0
4363_AT1,10.81957497
1244_AT1,0
8714_AT1,0
10257_AT1,0
10057_AT1,12.07935767
215_AT1,9.494318155
5825_AT1,10.83026326
9429_AT1,0
51099_AT1,0
30_AT1,11.39618523
10449_AT1,11.8535092
31_AT1,11.19317408
32_AT1,11.41542947
80724_AT1,10.09276116
27034_AT1,10.58651549
34_AT1,11.18940977
35_AT1,10.7989507
36_AT1,10.77313021
37_AT1,14.28078193
38_AT1,11.3292505
39_AT1,0
1636_AT1,0
43_AT1,0
47_AT1,11.99565943
48_AT1,10.98931021
50_AT1,12.61731809
26027_AT1,0
55856_AT1,9.654995393
11332_AT1,10.11604279
10005_AT1,9.708730191
51_AT1,11.72369307
8309_AT1,0
8310_AT1,0
52_AT1,11.22999894
53_AT1,10.27453407
54_AT1,0
51205_AT1,0
23205_AT1,0
2180_AT1,13.02973104
2181_AT1,11.60715641
51703_AT1,10.39618149
97_AT1,0
98_AT1,0
100_AT1,0
108_AT1,0
109_AT1,10.56778525
112_AT1,11.21875869
113_AT1,0
115_AT1,10.97299063
125_AT1,0
128_AT1,11.75056003
55256_AT1,11.69328466
132_AT1,9.520607628
84890_AT1,10.01471799
158_AT1,10.34912545
175_AT1,0
55750_AT1,10.33259193
178_AT1,10.68078097
79814_AT1,0
10554_AT1,11.95388608
10555_AT1,11.08793502
56894_AT1,12.39121655
56895_AT1,9.995000333
55326_AT1,9.575624773
191_AT1,11.64583513
10768_AT1,13.13769751
203_AT1,12.0786505
204_AT1,11.92084909
10327_AT1,11.12432439
231_AT1,11.69599167
1645_AT1,0
1646_AT1,0
8644_AT1,9.766987725
8574_AT1,10.26695783
210_AT1,11.88474243
211_AT1,11.55141439
5832_AT1,10.51013416
216_AT1,11.63253159
8854_AT1,0
219_AT1,9.622014174
10840_AT1,0
217_AT1,13.8266923
224_AT1,11.62133008
221_AT1,0
8659_AT1,10.801185
7915_AT1,10.49257948
4329_AT1,10.95345266
501_AT1,10.5457746
223_AT1,11.6549622
226_AT1,16.46778739
229_AT1,0
230_AT1,11.76575922
79087_AT1,0
29880_AT1,0
239_AT1,0
247_AT1,0
240_AT1,9.785092372
249_AT1,0
262_AT1,11.96619096
51005_AT1,0
271_AT1,11.18637434
272_AT1,9.844008808
275_AT1,10.25494039
290_AT1,9.863637884
314_AT1,0
8639_AT1,0
316_AT1,0
353_AT1,10.81294916
358_AT1,12.8364618
360_AT1,0
383_AT1,0
384_AT1,0
410_AT1,11.01121477
411_AT1,0
427_AT1,13.06939669
55870_AT1,12.22522214
435_AT1,10.01179105
440_AT1,10.31800668
80150_AT1,0
445_AT1,11.94859946
471_AT1,10.85235064
57194_AT1,0
23250_AT1,11.29571568
476_AT1,14.47740906
477_AT1,11.51240152
478_AT1,0
481_AT1,12.89761441
482_AT1,9.83549249
483_AT1,11.95654204
490_AT1,11.61488048
493_AT1,12.34979974
535_AT1,12.46343032
23545_AT1,10.06967013
533_AT1,12.17933971
527_AT1,13.4716192
9114_AT1,12.37979002
8992_AT1,12.36020809
523_AT1,11.54047714
526_AT1,12.77932013
528_AT1,11.52794031
51382_AT1,11.18889086
529_AT1,12.75076145
9296_AT1,11.5933946
9550_AT1,11.39973388
534_AT1,0
51606_AT1,11.18624163
10396_AT1,11.75474758
57198_AT1,10.87149537
549_AT1,9.551988081
8706_AT1,0
8705_AT1,0
26229_AT1,10.87914608
10678_AT1,9.617553536
146712_AT1,0
2683_AT1,12.2423209
8704_AT1,10.84970759
8703_AT1,10.59959324
8702_AT1,9.720442262
9334_AT1,11.90315837
11285_AT1,9.799345529
586_AT1,0
587_AT1,10.35509442
593_AT1,11.1226707
594_AT1,9.468958627
622_AT1,10.06944664
56898_AT1,0
644_AT1,10.06279648
645_AT1,10.95930433
669_AT1,9.561990309
682_AT1,14.820306
686_AT1,0
56913_AT1,10.15929012
771_AT1,0
760_AT1,11.40679209
761_AT1,0
762_AT1,9.55617667
11238_AT1,0
790_AT1,10.63815202
124583_AT1,10.99341318
847_AT1,11.84507453
873_AT1,10.6025903
874_AT1,0
84869_AT1,9.983771167
875_AT1,9.916327274
948_AT1,0
952_AT1,0
978_AT1,0
10423_AT1,12.12674762
1036_AT1,0
8760_AT1,12.30413302
1056_AT1,0
10390_AT1,9.729129505
29956_AT1,11.2303572
79603_AT1,9.979952935
253782_AT1,9.741574396
8824_AT1,11.95222158
1118_AT1,0
1119_AT1,10.30611124
23596_AT1,0
79586_AT1,11.48660068
54480_AT1,10.68757699
56994_AT1,11.18998183
8534_AT1,0
50515_AT1,9.791366045
55501_AT1,9.574914114
9435_AT1,0
9469_AT1,9.454803411
56548_AT1,0
22856_AT1,10.52614446
1152_AT1,13.62483503
55907_AT1,10.86034857
51727_AT1,12.22107625
55748_AT1,12.07052187
1267_AT1,12.13115574
80347_AT1,11.36247764
1312_AT1,11.74075134
27235_AT1,0
51805_AT1,0
51004_AT1,0
10229_AT1,9.501124718
1327_AT1,13.88798978
9377_AT1,12.30567962
1329_AT1,12.7272628
1340_AT1,12.52266799
1345_AT1,11.94184494
1347_AT1,11.66081349
9167_AT1,11.53860098
1349_AT1,11.85863439
1350_AT1,13.4890201
1351_AT1,12.75512895
1371_AT1,9.682807645
1374_AT1,11.45543701
1376_AT1,0
1384_AT1,11.56916828
54677_AT1,0
51380_AT1,10.29460421
55790_AT1,9.847752628
55454_AT1,10.23405802
1487_AT1,12.75964836
1491_AT1,0
1503_AT1,9.840549845
56474_AT1,0
5476_AT1,12.1465237
51706_AT1,11.65367885
51700_AT1,0
1727_AT1,13.5157354
79901_AT1,12.24482415
1537_AT1,12.38571307
1586_AT1,0
1545_AT1,0
1593_AT1,10.8292602
1571_AT1,0
1595_AT1,0
747_AT1,0
1622_AT1,11.77099044
1629_AT1,10.35308919
1633_AT1,0
1635_AT1,11.0954076
79077_AT1,9.452659226
51181_AT1,11.26226522
8528_AT1,0
1666_AT1,11.18557757
26063_AT1,0
8560_AT1,11.09554764
51071_AT1,9.51298584
8694_AT1,11.41591498
1606_AT1,10.29472128
8527_AT1,12.34332678
8526_AT1,9.515691634
1609_AT1,10.74472864
8525_AT1,12.35233853
1716_AT1,10.02657974
1718_AT1,12.40116862
1717_AT1,10.6907123
1723_AT1,0
9249_AT1,11.23037267
1737_AT1,10.74291544
1738_AT1,11.63409375
1743_AT1,12.34561639
57171_AT1,0
84444_AT1,11.15449723
64174_AT1,0
8818_AT1,10.23986776
1806_AT1,0
1808_AT1,12.67103835
1809_AT1,11.08517844
1841_AT1,0
53905_AT1,0
8446_AT1,0
1854_AT1,11.02772206
10682_AT1,9.887230583
1891_AT1,12.53364658
55268_AT1,11.41406036
1892_AT1,12.20780774
1632_AT1,10.89354575
10455_AT1,10.26380275
1962_AT1,0
79813_AT1,11.41917356
10919_AT1,11.22632298
64834_AT1,11.3714083
60481_AT1,11.49322525
79071_AT1,0
2023_AT1,15.02032766
2026_AT1,11.2355189
2027_AT1,0
58478_AT1,10.32098992
5168_AT1,0
953_AT1,11.12980271
9583_AT1,11.62416613
957_AT1,9.875055404
2053_AT1,9.689474861
2098_AT1,11.64808068
2108_AT1,11.64508022
2110_AT1,10.56588791
55500_AT1,11.1035121
2131_AT1,10.2846047
2132_AT1,10.98253394
2135_AT1,0
2137_AT1,11.42719384
2170_AT1,0
2167_AT1,0
3992_AT1,10.60788331
9415_AT1,10.75131174
3995_AT1,10.87482015
2184_AT1,9.554910792
9917_AT1,11.30820869
2194_AT1,13.24257768
10826_AT1,10.60453884
2203_AT1,0
2222_AT1,12.35519207
2224_AT1,10.62969418
2235_AT1,10.2431962
55277_AT1,0
2271_AT1,11.56362666
9896_AT1,9.839140786
80308_AT1,10.18759571
64122_AT1,9.578867666
79672_AT1,10.33278614
2356_AT1,11.11065311
8790_AT1,0
2495_AT1,15.56286543
2512_AT1,17.35566012
2517_AT1,10.11338914
2523_AT1,0
2526_AT1,0
92579_AT1,10.71142049
2539_AT1,10.4597876
2548_AT1,12.0474572
2581_AT1,10.68474631
2582_AT1,0
2584_AT1,0
2585_AT1,0
2588_AT1,9.895090223
2589_AT1,11.05490128
55568_AT1,10.847269
63917_AT1,10.41067191
79695_AT1,0
2590_AT1,11.59168021
2591_AT1,0
11226_AT1,0
51809_AT1,9.747132208
2592_AT1,10.14596777
2593_AT1,10.26967597
2597_AT1,16.87414594
2618_AT1,10.60956354
2628_AT1,10.33514973
2632_AT1,10.56376435
23464_AT1,0
2639_AT1,9.80198711
2643_AT1,0
2729_AT1,10.26048532
2730_AT1,9.779987912
2650_AT1,0
2651_AT1,0
2673_AT1,11.3681446
9945_AT1,0
79017_AT1,9.599705207
8836_AT1,0
9453_AT1,10.08217033
2687_AT1,9.814483505
2710_AT1,0
2717_AT1,0
79411_AT1,0
26035_AT1,9.687099829
2739_AT1,11.75927318
2745_AT1,10.84029373
51022_AT1,0
2744_AT1,12.11593729
27165_AT1,0
55830_AT1,10.37942317
51228_AT1,11.36002789
2746_AT1,12.66811194
2752_AT1,15.90630221
2760_AT1,11.46492549
2762_AT1,0
29926_AT1,10.18706059
2766_AT1,0
51292_AT1,11.21283627
10020_AT1,10.17502404
27232_AT1,0
10007_AT1,10.33049655
2799_AT1,12.5249911
2805_AT1,12.19446066
2806_AT1,12.19612684
8733_AT1,11.99640861
2819_AT1,0
2820_AT1,10.87518484
2821_AT1,13.95621772
2875_AT1,0
2878_AT1,13.40672895
2879_AT1,13.07347399
2882_AT1,0
9380_AT1,11.59508313
2936_AT1,11.16281721
2937_AT1,10.56971056
2954_AT1,0
2987_AT1,13.32881524
2990_AT1,10.85840326
2992_AT1,11.42471177
2997_AT1,11.87592191
9563_AT1,12.26617884
23498_AT1,0
3033_AT1,11.2327939
3030_AT1,13.55113112
3032_AT1,13.24696209
3029_AT1,11.50606833
3069_AT1,13.91587211
9843_AT1,10.20140693
3073_AT1,10.61622316
3074_AT1,11.25117013
26275_AT1,9.720042434
192286_AT1,10.94258475
3098_AT1,13.19261797
3099_AT1,11.26998062
3101_AT1,0
3141_AT1,9.539744828
3145_AT1,0
3155_AT1,10.39958272
3156_AT1,10.86161026
3157_AT1,10.71042413
3162_AT1,10.35440857
3163_AT1,11.12476927
3176_AT1,0
3248_AT1,0
3251_AT1,9.86901057
9653_AT1,10.13565503
9953_AT1,0
3292_AT1,0
3028_AT1,10.68521724
51170_AT1,10.69365868
51144_AT1,11.30536953
51171_AT1,0
3295_AT1,12.2005521
7923_AT1,0
10553_AT1,10.08061785
8372_AT1,0
3417_AT1,10.48992618
3418_AT1,12.9099006
3419_AT1,10.2351598
3420_AT1,11.90801198
3421_AT1,11.64084908
3422_AT1,11.54167273
3423_AT1,13.82396144
3425_AT1,9.564264591
3612_AT1,9.643839006
3613_AT1,10.01778507
3614_AT1,10.89615383
3615_AT1,11.85923702
3628_AT1,10.32573121
3631_AT1,11.17727013
8821_AT1,0
3632_AT1,11.15179424
3633_AT1,10.37671528
3635_AT1,10.30561942
56623_AT1,10.26338253
22876_AT1,10.23842748
27124_AT1,0
3636_AT1,12.76005585
9807_AT1,11.6980582
51447_AT1,11.66433171
3658_AT1,11.02630599
51477_AT1,10.27332695
3704_AT1,9.992589664
3705_AT1,13.03795632
3706_AT1,0
3707_AT1,11.25277675
80271_AT1,10.81341612
3712_AT1,11.81357631
2531_AT1,11.05990344
3795_AT1,0
9365_AT1,0
4297_AT1,12.07895753
8085_AT1,12.6394004
8942_AT1,0
51056_AT1,11.51206761
3930_AT1,10.71383968
3931_AT1,9.698249101
3945_AT1,14.08616184
64077_AT1,10.19731691
3988_AT1,10.89375285
3991_AT1,9.527054707
4017_AT1,0
23175_AT1,11.81995664
9663_AT1,11.24247049
4023_AT1,9.98832086
4047_AT1,12.03720655
4048_AT1,11.58940391
4125_AT1,11.34062628
4126_AT1,9.654023409
54682_AT1,9.839716944
4128_AT1,11.92817258
4129_AT1,10.69771252
4144_AT1,13.68224767
27430_AT1,11.38557432
56922_AT1,10.26602555
64087_AT1,11.10107019
4190_AT1,12.78620118
4191_AT1,13.06298414
4199_AT1,10.05835086
4200_AT1,10.87759357
10873_AT1,9.545458766
51102_AT1,9.592739193
4249_AT1,11.57841375
11343_AT1,12.95026073
4258_AT1,9.497156237
4259_AT1,11.7867529
375056_AT1,11.37725447
23417_AT1,9.599173608
26002_AT1,0
51660_AT1,11.05696478
25874_AT1,10.75664728
4351_AT1,10.63840445
4357_AT1,10.80380314
6307_AT1,10.39962157
4507_AT1,0
4522_AT1,10.56259333
10797_AT1,10.31939395
441024_AT1,0
4524_AT1,11.08752253
8776_AT1,10.72192737
64419_AT1,11.00096587
8898_AT1,10.21812136
8897_AT1,12.41041901
9107_AT1,10.61938293
4548_AT1,11.31692632
4597_AT1,11.0697427
4598_AT1,9.457271147
653784_AT1,10.61891445
65220_AT1,11.69708667
55191_AT1,11.55703709
4668_AT1,10.19238683
55577_AT1,10.92455228
4669_AT1,10.17667899
10135_AT1,12.35924874
54187_AT1,9.841656686
3340_AT1,12.37082665
8509_AT1,10.83809585
4694_AT1,11.82707703
4705_AT1,12.24764779
51079_AT1,12.37205999
4695_AT1,10.38765587
4696_AT1,10.81091822
4697_AT1,13.24153907
4698_AT1,11.30972953
4700_AT1,11.08085083
4701_AT1,10.0668009
4702_AT1,10.78060976
4704_AT1,11.18755243
4706_AT1,11.02510622
4707_AT1,10.60985729
54539_AT1,11.63632987
4708_AT1,11.07870442
4709_AT1,10.24876437
4710_AT1,11.79236799
4711_AT1,10.99627021
4712_AT1,10.37067642
4713_AT1,11.42719822
4714_AT1,11.88935974
4717_AT1,10.50886913
4718_AT1,11.55497281
4719_AT1,12.04905614
4720_AT1,12.71257896
4722_AT1,11.34219813
4724_AT1,10.20009161
4725_AT1,12.38300701
4726_AT1,10.85733111
374291_AT1,11.24717657
4728_AT1,11.37738935
4723_AT1,12.8739338
4758_AT1,10.58635773
10825_AT1,0
56954_AT1,10.08777783
4830_AT1,10.14741723
4832_AT1,10.66320293
4833_AT1,11.01035844
10201_AT1,0
29922_AT1,0
23057_AT1,0
54981_AT1,9.778371983
4837_AT1,0
23530_AT1,11.80294366
79707_AT1,9.81099415
4846_AT1,0
4864_AT1,10.9679761
4881_AT1,0
4882_AT1,0
1728_AT1,9.939487061
64324_AT1,11.72003108
50814_AT1,0
4905_AT1,11.12468388
30833_AT1,9.982321556
22978_AT1,10.46361975
51559_AT1,9.56579881
4907_AT1,0
56953_AT1,0
4942_AT1,11.6597941
4952_AT1,10.89608412
4953_AT1,11.66377358
4967_AT1,13.53609665
8473_AT1,13.67337535
26873_AT1,10.4455931
51526_AT1,10.92076267
5019_AT1,10.64790978
54995_AT1,0
5033_AT1,11.13458833
8974_AT1,0
5048_AT1,13.12346804
5049_AT1,11.85889688
5050_AT1,0
5051_AT1,0
10606_AT1,10.99473533
80025_AT1,10.14211063
79646_AT1,11.44314427
55229_AT1,10.3747448
9061_AT1,10.71119077
9060_AT1,10.38035451
5091_AT1,10.34823595
5092_AT1,10.62968031
5106_AT1,0
5130_AT1,11.94199979
5833_AT1,10.75012511
5138_AT1,10.15593947
5140_AT1,0
5141_AT1,10.67005813
5142_AT1,10.91805267
5143_AT1,0
5144_AT1,10.6829614
8654_AT1,0
5158_AT1,0
5146_AT1,0
5147_AT1,0
5151_AT1,10.64595953
